Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
HSPA1A,EC,Up,1.525918623,0.003658997,1,0.079298887,59.3,45.8
MT-ND3,EC,Up,1.083321167,8.38E-08,0.003066551,4.30E-05,92.2,79.7
ANKRD37,EC,Up,0.941352535,2.11E-06,0.077060677,0.000539948,48.8,32.5
DUSP1,EC,Up,0.75049252,7.59E-05,1,0.007961064,69.8,53.1
SLC38A2,EC,Up,0.711164473,0.000638368,1,0.028688004,60.8,43.1
AKR1C1,EC,Up,0.697955167,0.000454331,1,0.023671375,21.4,9.0
MT-ATP6,EC,Up,0.682449343,0.000606734,1,0.028000853,93.3,81.9
FOS,EC,Up,0.627625723,0.000266621,1,0.016471542,28.8,17.4
AC119673.2,EC,Up,0.610646259,1.26E-10,4.60E-06,1.81E-07,15.4,3.1
APOLD1,EC,Up,0.564419314,2.37E-08,0.000868654,1.52E-05,77,69.1
MT1M,EC,Up,0.556568301,0.000495035,1,0.024947364,49.6,47.5
HIBCH,EC,Up,0.525781512,0.000198722,1,0.014069611,34.2,29.5
MT-CYB,EC,Up,0.494807295,8.76E-05,1,0.008630492,86.9,76.5
CD34,EC,Up,0.483178758,3.22E-09,0.000117779,2.56E-06,42.4,30.6
SLC30A1,EC,Up,0.469855791,0.001358074,1,0.0463677,44.9,33.1
MT2A,EC,Up,0.469645799,8.47E-11,3.10E-06,1.63E-07,89,88.6
MT1E,EC,Up,0.468611297,0.000434684,1,0.023080208,58.9,53.2
MT-ND4,EC,Up,0.463774402,6.16E-06,0.225342603,0.001268782,90.1,84.4
ZNF385B,EC,Up,0.425257099,7.99E-06,0.292447988,0.001536841,34.7,27.6
NR4A1,EC,Up,0.424351686,0.005213027,1,0.095645365,17.9,9.3
MT-ND2,EC,Up,0.417742561,0.00259416,1,0.064800658,82.3,74.8
TINAGL1,EC,Up,0.399325419,0.00046615,1,0.023962625,28.3,19.9
GULP1,EC,Up,0.398271343,0.001705421,1,0.051988862,18.7,13.5
UACA,EC,Up,0.395778982,1.44E-06,0.05253141,0.000394368,61.4,55.2
CREM,EC,Up,0.392336498,1.34E-08,0.000489271,9.35E-06,53.1,43.5
TNXB,EC,Up,0.37797442,0.000527928,1,0.025815924,23.4,16.2
FXR1,EC,Up,0.374843012,0.000180058,1,0.013277705,47.2,39.4
IL6ST,EC,Up,0.368974387,3.89E-06,0.142221588,0.00086237,58.3,51.8
TMEM123,EC,Up,0.36282786,0.004345541,1,0.087143522,63.6,54.6
ST8SIA6,EC,Up,0.356205574,1.96E-07,0.007170506,8.70E-05,61.8,61.7
INPP5D,EC,Up,0.355284814,0.000636391,1,0.028688004,47.6,42.8
CGNL1,EC,Up,0.354598754,0.00316169,1,0.072252452,64.3,58.6
IGF1R,EC,Up,0.353104679,1.48E-07,0.005433884,6.98E-05,77.5,73.3
SRGN,EC,Up,0.346636651,0.001809664,1,0.053756573,73.2,65.8
ZBTB38,EC,Up,0.342483308,4.14E-05,1,0.005025908,60,53.3
ELF1,EC,Up,0.338237636,0.004708587,1,0.090490337,52,46.5
FP236383.3,EC,Up,0.334671034,1.05E-21,3.84E-17,2.42E-17,74.2,64.8
SMARCA2,EC,Up,0.332457707,0.000149818,1,0.01204863,56.7,51.9
MPDZ,EC,Up,0.31900356,1.32E-05,0.484621086,0.002167429,52.6,49.2
RAMP2,EC,Up,0.317485327,0.005553625,1,0.098981378,34.6,27.6
TSC22D3,EC,Up,0.31250067,0.000512083,1,0.025472826,30.7,24.4
ITSN2,EC,Up,0.311537823,0.005562101,1,0.098981378,53.9,50.6
SERTAD1,EC,Up,0.311344959,0.000107526,1,0.010088605,27.5,20.2
IGFBP3,EC,Up,0.310501997,7.31E-17,2.68E-12,5.62E-13,12.6,13.1
SESTD1,EC,Up,0.297183166,0.000302955,1,0.017886908,57.6,53.1
TBX3,EC,Up,0.29708281,7.85E-05,1,0.008086738,29.8,22.3
KIAA1109,EC,Up,0.296454311,0.000337468,1,0.019220231,50.7,47.1
RPS6KA3,EC,Up,0.29613269,0.001147155,1,0.041435804,52.8,50.1
NFKBIA,EC,Up,0.295486826,2.68E-05,0.982029675,0.003688334,63.5,58.3
WNT2B,EC,Up,0.290139562,0.002832769,1,0.06796585,22,19.2
SMCHD1,EC,Up,0.285065705,1.22E-09,4.46E-05,1.10E-06,64.9,60.2
TNFRSF10D,EC,Up,0.282337654,0.001736514,1,0.052531578,37.6,31.0
MYL12B,EC,Up,0.276109651,0.001905416,1,0.055321066,43,38.4
SPOCK3,EC,Up,0.275684256,4.09E-06,0.149831025,0.000899858,34.2,31.2
QKI,EC,Up,0.274798403,0.000444876,1,0.023336882,76.2,77.2
CLEC1A,EC,Up,0.271277074,0.002126053,1,0.058487993,23.6,18.2
LCORL,EC,Up,0.268236552,3.52E-07,0.012865759,0.000137513,34.4,31.7
IGF2BP2,EC,Up,0.266674499,0.005279704,1,0.096142077,12.1,9.7
SLC16A1,EC,Up,0.265663486,5.38E-07,0.019683638,0.000197027,67.7,62.6
IL18R1,EC,Up,0.262334766,1.46E-13,5.33E-09,5.60E-10,30.2,27.4
CPD,EC,Up,0.253382803,8.79E-06,0.321642605,0.001632242,54,47.4
ST3GAL6,EC,Up,0.250995934,0.000508249,1,0.025446626,30.4,28.2
SPEN,EC,Up,0.248900139,0.003585807,1,0.078079253,43.6,39.1
KLHL29,EC,Up,0.247628156,0.00398683,1,0.083049779,10.3,6.2
SLC1A7,EC,Up,0.246707994,0.004218791,1,0.085603699,12.2,8.3
ANKS1A,EC,Up,0.246269515,1.17E-10,4.28E-06,1.81E-07,66.4,65.1
DNM3,EC,Up,0.237130931,0.000135989,1,0.011497317,59.5,55.3
FRYL,EC,Up,0.236907431,4.96E-05,1,0.005756407,62.8,59.6
LINC00499,EC,Up,0.236230486,0.002355018,1,0.061558523,17.2,11.5
SMARCA1,EC,Up,0.234695707,0.001151304,1,0.041520713,12.8,10.3
MAP1LC3B,EC,Up,0.234415318,1.11E-05,0.405666717,0.001952809,23.1,19.4
MT1X,EC,Up,0.233053544,3.09E-09,0.000113207,2.55E-06,47,54.0
TM4SF1,EC,Up,0.23063407,6.12E-07,0.022407422,0.000214097,53.2,49.3
TSC22D1,EC,Up,0.230178892,3.54E-08,0.001294588,1.94E-05,88.6,84.3
STXBP6,EC,Up,0.229566849,2.73E-08,0.000998442,1.70E-05,39.2,31.8
CALCOCO2,EC,Up,0.229135979,9.92E-07,0.036295427,0.000305177,36.3,32.3
S100A10,EC,Up,0.22837205,2.40E-07,0.008782398,9.72E-05,39.7,36.0
WWTR1,EC,Up,0.227777793,0.00144745,1,0.047816596,66.3,66.1
RFX3,EC,Up,0.224434811,6.22E-05,1,0.006930649,58.5,58.1
ERMP1,EC,Up,0.223740597,0.001189267,1,0.04242578,13.4,9.5
KIAA2026,EC,Up,0.223039925,0.001898316,1,0.055252237,35.4,32.8
USP6NL,EC,Up,0.222916245,3.25E-06,0.11904299,0.000766019,55.1,52.9
PPDPF,EC,Up,0.222660034,0.001765412,1,0.052916663,19.3,15.3
PTPRB,EC,Up,0.222150744,1.18E-05,0.430302388,0.002025205,74.2,71.5
HERC2,EC,Up,0.219730106,7.96E-14,2.91E-09,3.67E-10,95.5,92.6
ARFGEF2,EC,Up,0.215489052,0.00016863,1,0.012803104,49.4,46.3
LMBR1,EC,Up,0.214923894,2.13E-07,0.007804085,8.96E-05,61.3,59.0
PDS5B,EC,Up,0.214399327,0.003965749,1,0.082760802,45.1,41.7
TJP1,EC,Up,0.213862,0.004397008,1,0.087263399,74.7,72.4
ARL4A,EC,Up,0.21248483,0.005402572,1,0.097343294,29.1,24.0
ICAM2,EC,Up,0.209793481,0.002368105,1,0.061679179,50.8,47.7
BRWD1,EC,Up,0.204235575,0.001052163,1,0.039043349,42.1,42.2
PIAS1,EC,Up,0.202926776,0.000819094,1,0.033579963,50.7,48.7
NUTM2A-AS1,EC,Up,0.202479222,7.90E-05,1,0.00809655,39.7,37.2
AP001037.1,EC,Up,0.200314167,0.005311002,1,0.096522229,18.7,17.0
CDKN1B,EC,Up,0.19892609,1.61E-05,0.589936588,0.002491368,18.5,15.3
RPS23,EC,Up,0.198600391,0.000390941,1,0.021535342,59,58.1
ID3,EC,Up,0.196179765,2.22E-05,0.813964617,0.003188169,62.6,58.7
JUND,EC,Up,0.196132645,0.000671195,1,0.029452168,44.1,40.9
TPP1,EC,Up,0.195328928,0.00247299,1,0.062862425,14.2,10.8
RYBP,EC,Up,0.194652661,0.003563807,1,0.077746906,37.9,34.1
PLA1A,EC,Up,0.1945563,0.001555016,1,0.049849077,18.5,16.9
RTN4,EC,Up,0.192815905,0.00478906,1,0.091141043,53.1,49.9
SULT1C4,EC,Up,0.190281894,0.001502717,1,0.04888909,14.8,12.6
SOX18,EC,Up,0.190270897,0.001612943,1,0.050789009,37.9,33.3
UBL3,EC,Up,0.18968619,0.001795896,1,0.053416338,26.9,25.1
SEC24B,EC,Up,0.189201226,0.000147594,1,0.012011486,36.3,33.1
CYLD,EC,Up,0.188458214,8.40E-07,0.0307383,0.000276913,34.1,31.3
RAPGEF2,EC,Up,0.187945236,0.001059336,1,0.039148496,67.3,65.4
LAMA3,EC,Up,0.184754112,1.36E-06,0.049886,0.00037902,27.6,25.3
METTL26,EC,Up,0.180063802,0.000637974,1,0.028688004,10.2,8.0
NT5C3A,EC,Up,0.178496064,0.001832624,1,0.054229213,20.3,18.8
LEMD3,EC,Up,0.177079676,0.00284527,1,0.068030323,23.6,21.9
MORF4L2,EC,Up,0.17397975,0.005596146,1,0.099114795,26.5,25.1
SHOC2,EC,Up,0.173908196,0.000735741,1,0.031292083,36.4,33.8
MBOAT2,EC,Up,0.173769927,0.004694869,1,0.090377216,15,12.0
STAT3,EC,Up,0.172549543,0.001564349,1,0.0500787,66,65.3
CCNH,EC,Up,0.17253427,0.000433349,1,0.023080208,48.1,46.5
CD2AP,EC,Up,0.17109303,1.19E-06,0.043381066,0.000341957,40.3,38.5
SSB,EC,Up,0.170099405,7.71E-05,1,0.008050133,18.6,16.1
WASHC2A,EC,Up,0.164757128,4.96E-06,0.181584673,0.001060272,13.4,10.9
PEAK1,EC,Up,0.164282044,0.003218738,1,0.073121739,42.9,41.5
PRRG1,EC,Up,0.163762784,0.00153413,1,0.049454269,38.2,34.5
KAT6A,EC,Up,0.163471897,0.001270578,1,0.044636537,59.9,59.3
VPS37B,EC,Up,0.162539255,0.000776777,1,0.03247968,18.9,16.7
TACC1,EC,Up,0.16202609,5.04E-11,1.85E-06,1.06E-07,87.9,89.3
COPA,EC,Up,0.16127289,0.001186366,1,0.042387783,32.3,29.5
CCNT2,EC,Up,0.161024892,0.002122468,1,0.058487993,24.3,21.3
LRP6,EC,Up,0.160962259,0.002193018,1,0.059443667,27.7,24.3
LIMCH1,EC,Up,0.160249384,0.002661842,1,0.065851395,65.8,61.4
FKBP1A,EC,Up,0.159888171,0.000211497,1,0.014442506,58.6,54.8
VASP,EC,Up,0.156747761,0.001871141,1,0.054806855,12.9,10.8
TRIM16,EC,Up,0.15536794,0.002976015,1,0.069877316,13.8,10.8
MT1F,EC,Up,0.155275898,0.000208643,1,0.014289848,19.4,16.8
GCH1,EC,Up,0.154656367,0.00133055,1,0.045768149,11.8,10.2
CNOT8,EC,Up,0.154094432,1.73E-05,0.63171545,0.002570109,40.3,38.0
TOMM6,EC,Up,0.153680229,0.002314579,1,0.060984918,13.7,10.2
CNOT2,EC,Up,0.153606907,4.25E-05,1,0.005134058,41.4,41.2
RFTN2,EC,Up,0.151703993,0.001020069,1,0.038097435,15,13.3
TUBB4B,EC,Up,0.150413236,6.88E-05,1,0.007420371,33.4,31.3
NEDD4L,EC,Up,0.149669744,0.000176288,1,0.013133128,27.7,26.1
SRSF5,EC,Up,0.149544925,0.002575841,1,0.064552656,40.5,38.4
ZADH2,EC,Up,0.149260828,0.000789299,1,0.032707006,15.1,12.3
YWHAH,EC,Up,0.149168962,8.12E-05,1,0.008215795,31.3,31.0
COQ10B,EC,Up,0.146504965,0.002146456,1,0.058734338,10.6,8.3
GNB2,EC,Up,0.146301079,0.005617291,1,0.099254817,20.9,18.9
NDUFB11,EC,Up,0.146224041,0.00537714,1,0.097188534,11.4,9.9
CERT1,EC,Up,0.146186005,0.001036965,1,0.038603536,33.3,32.3
FBXO31,EC,Up,0.145938527,1.11E-07,0.004048307,5.32E-05,10.5,7.4
BHLHE40,EC,Up,0.14525411,3.94E-07,0.014418799,0.00014906,42.6,38.0
SUZ12,EC,Up,0.144559137,0.002882361,1,0.06819654,27,25.7
CLDN5,EC,Up,0.144494453,0.000206675,1,0.014289848,96.7,93.1
EIF5A,EC,Up,0.144208245,0.004198237,1,0.085475368,12.5,10.2
XRCC4,EC,Up,0.143312761,0.003740747,1,0.080357506,12.3,12.4
ZNF407,EC,Up,0.143275387,0.001892268,1,0.055215475,37.5,39.2
RBMS2,EC,Up,0.141402691,3.64E-06,0.133196488,0.000815487,55.2,55.3
RPL8,EC,Up,0.140034473,0.001434147,1,0.047628118,47.9,47.3
PIK3C3,EC,Up,0.139122277,0.000472545,1,0.024055361,28.6,27.6
CCDC50,EC,Up,0.138672195,0.001015823,1,0.038000347,52.8,50.6
NPHP3,EC,Up,0.138073736,0.000338088,1,0.019220231,27.8,25.8
KPNA1,EC,Up,0.137213269,0.001423229,1,0.047451609,27.9,26.9
RANBP3L,EC,Up,0.13655739,1.22E-05,0.447453984,0.002064657,11.1,9.5
PPP2CA,EC,Up,0.135950915,0.002580108,1,0.064589442,21.3,19.7
CNOT6L,EC,Up,0.134035148,2.13E-07,0.007812297,8.96E-05,63.4,61.6
CEMIP2,EC,Up,0.134002381,7.34E-06,0.26873137,0.001473609,58.3,56.8
RAC1,EC,Up,0.132980892,0.000248277,1,0.015918008,60.6,61.1
CLIP2,EC,Up,0.132844145,0.001094696,1,0.040105823,12.7,10.3
LDLR,EC,Up,0.131499551,0.002071962,1,0.057687513,23.9,22.0
MXRA7,EC,Up,0.131422578,0.000934339,1,0.036366745,17.1,16.2
CUL2,EC,Up,0.131084919,0.000124976,1,0.011009851,13.5,12.0
NBEA,EC,Up,0.130478948,1.67E-05,0.61008503,0.002531095,29.2,28.1
CRIP2,EC,Up,0.130126386,0.000428717,1,0.023065766,51.1,46.4
ZNFX1,EC,Up,0.128047972,0.000915206,1,0.036002623,15,12.7
PSMG2,EC,Up,0.126458922,0.002167414,1,0.059132492,12.9,11.2
DNMT1,EC,Up,0.125305728,1.07E-05,0.389907787,0.001891386,13.6,12.6
FGD6,EC,Up,0.12508106,0.000510634,1,0.025472826,29.9,28.7
YBX3,EC,Up,0.124898506,0.000207189,1,0.014289848,61.1,64.1
DOCK9,EC,Up,0.124606023,9.35E-09,0.000342396,6.75E-06,85.6,86.5
HP1BP3,EC,Up,0.124323014,0.004820607,1,0.091500358,51.7,51.2
VAPA,EC,Up,0.124189794,0.002675243,1,0.065969323,45.5,43.9
PDCD4,EC,Up,0.124144848,1.04E-09,3.82E-05,1.05E-06,34.3,30.9
ADIPOR2,EC,Up,0.123182565,5.19E-06,0.18992774,0.001088823,75.7,77.8
RPL13A,EC,Up,0.12269211,0.005228702,1,0.095831988,56.2,53.9
FCHSD2,EC,Up,0.122668333,6.32E-07,0.023124771,0.000217653,59.2,58.8
NFATC3,EC,Up,0.122626618,0.002131599,1,0.058526007,34.6,33.1
TRIM47,EC,Up,0.122196324,0.001238451,1,0.043774418,11.3,9.4
FN1,EC,Up,0.121703805,0.000394163,1,0.021660467,54.3,51.3
TTC19,EC,Up,0.120639943,0.004122778,1,0.084735379,33.3,32.6
RAPGEF1,EC,Up,0.120589609,0.00055587,1,0.026860589,56.1,56.9
AC105052.4,EC,Up,0.119367589,0.001584178,1,0.050257723,25.1,23.9
RPRD2,EC,Up,0.119332462,0.003152856,1,0.072193524,24.5,23.5
REEP3,EC,Up,0.119231743,0.004363735,1,0.087191855,47.2,45.3
SPTBN1,EC,Up,0.117515612,1.62E-05,0.592608032,0.002491368,77.3,75.9
TMEM87B,EC,Up,0.117260767,0.00340805,1,0.076074674,38.8,38.2
JAK1,EC,Up,0.117003233,1.06E-05,0.389171403,0.001891386,54,54.3
TAX1BP1,EC,Up,0.116578839,0.002416161,1,0.062240423,45.1,44.6
GCNT1,EC,Up,0.116494926,0.000346259,1,0.019603288,21.3,20.2
LRCH1,EC,Up,0.116322227,0.000679956,1,0.029667414,56.3,58.0
PPP6C,EC,Up,0.116247755,0.001488655,1,0.048599225,19.1,19.2
FNIP2,EC,Up,0.116175308,0.005388236,1,0.097236803,20.5,19.2
SNU13,EC,Up,0.115309094,0.001464174,1,0.047938036,20.2,18.7
TIPARP,EC,Up,0.115044392,1.43E-05,0.523657879,0.002309262,22.8,22.7
BTG2,EC,Up,0.11490625,4.51E-05,1,0.005397175,26.8,24.8
MAGI3,EC,Up,0.114783929,0.003733591,1,0.080312221,43.4,42.9
SAMD12,EC,Up,0.114251343,1.22E-10,4.46E-06,1.81E-07,55,54.1
SYNE1,EC,Up,0.113098334,0.000327535,1,0.018936525,78.9,77.9
APP,EC,Up,0.112984724,0.000277929,1,0.016749006,68.7,68.1
TRIM56,EC,Up,0.112577561,0.005183667,1,0.095538527,23.9,23.0
NLK,EC,Up,0.112012705,7.80E-09,0.000285589,6.00E-06,57.2,56.4
PLAT,EC,Up,0.111345255,0.000120291,1,0.01083198,23,21.2
SCARB2,EC,Up,0.111142051,0.004390806,1,0.087263399,25.4,25.0
MAOA,EC,Up,0.110534818,0.003211675,1,0.073033171,29.4,30.6
TOX,EC,Up,0.108188625,1.52E-05,0.556883977,0.002388961,20.8,21.6
PICALM,EC,Up,0.108174768,1.02E-05,0.372917967,0.001843767,79.5,82.6
CPSF2,EC,Up,0.107320368,0.002758285,1,0.066999644,12.9,12.3
PTAR1,EC,Up,0.106498697,0.000946345,1,0.036489146,32.4,31.8
SLC25A27,EC,Up,0.106333989,0.003751944,1,0.080481978,17.8,15.0
TSC22D2,EC,Up,0.106157172,0.000419435,1,0.022710191,31.2,30.4
PHF20,EC,Up,0.1051561,0.001547145,1,0.04973489,26.8,25.8
POLR1D,EC,Up,0.104367154,0.003943163,1,0.082532409,13.8,11.8
SIK2,EC,Up,0.103439282,0.000235986,1,0.015517946,33.9,34.4
STX2,EC,Up,0.103348464,0.002604102,1,0.064907288,15.8,14.3
GBP1,EC,Up,0.103196522,0.004042715,1,0.08361102,10,9.2
S100A6,EC,Up,0.101807618,1.30E-05,0.476263281,0.002145264,21.6,21.3
EIF3G,EC,Up,0.101623366,0.004758041,1,0.091060452,13.2,11.9
PHF10,EC,Up,0.101120758,8.82E-07,0.032275223,0.00027881,29.6,26.9
CYTH1,EC,Up,0.101026393,1.02E-05,0.374243482,0.001843767,48.7,49.3
SNED1,EC,Up,0.100762642,0.000560471,1,0.026860589,38.9,37.6
YLPM1,EC,Down,-0.100473216,0.000187778,1,0.013601814,26.4,30.7
MIR222HG,EC,Down,-0.100954353,0.004518772,1,0.088238392,18.8,19.8
CDK5RAP2,EC,Down,-0.101362951,0.000692378,1,0.030039049,22.7,26.7
ABLIM3,EC,Down,-0.101600797,0.000831659,1,0.033854543,17.2,21.9
SIL1,EC,Down,-0.103172624,0.000513623,1,0.025494482,15.9,19.0
CCDC149,EC,Down,-0.10346738,0.003839208,1,0.081434885,24.9,28.3
BOD1L1,EC,Down,-0.103679997,0.003205453,1,0.072963581,26.4,30.6
KPNA3,EC,Down,-0.104397735,0.002783948,1,0.06742529,22.9,26.7
MAP3K13,EC,Down,-0.105342541,0.000760058,1,0.032071101,18.2,21.1
LIMS2,EC,Down,-0.10575255,0.005491949,1,0.098262364,32.1,36.6
MBTPS1,EC,Down,-0.105975522,0.003324869,1,0.074796595,16.2,19.7
ID1,EC,Down,-0.107924101,9.23E-18,3.38E-13,1.06E-13,50.5,54.4
MECOM,EC,Down,-0.108694801,7.83E-05,1,0.008086738,77,78.1
GALNT11,EC,Down,-0.110632403,0.001769978,1,0.052918202,10.1,13.0
SLC25A37,EC,Down,-0.111131933,0.000168589,1,0.012803104,16.9,21.2
TNRC18,EC,Down,-0.111660046,0.002343643,1,0.061330645,14.8,17.6
NACC2,EC,Down,-0.11234467,0.000862769,1,0.034884215,21.6,26.5
UGGT1,EC,Down,-0.112439967,0.002827286,1,0.06796585,14,18.5
HM13,EC,Down,-0.112630614,0.005133206,1,0.095317396,11.9,15.3
VCL,EC,Down,-0.112634189,2.77E-05,1,0.003758676,25.6,27.9
UBAC2,EC,Down,-0.112820099,0.000899921,1,0.035660823,24.2,29.5
TOM1L2,EC,Down,-0.11430213,0.00418334,1,0.085371944,18.5,21.3
PLEC,EC,Down,-0.114777803,0.000129883,1,0.01122159,23,26.7
EXD3,EC,Down,-0.117421129,2.45E-05,0.894894634,0.003420185,10.8,15.1
PDGFB,EC,Down,-0.118269955,5.74E-06,0.209953081,0.001192782,33,34.5
ACADVL,EC,Down,-0.118409328,0.002506203,1,0.063427267,18.8,23.0
TMEM44,EC,Down,-0.118456272,0.001950123,1,0.056123183,17.4,21.4
RABEP1,EC,Down,-0.118531266,0.002048697,1,0.057177727,27.8,33.9
CNTLN,EC,Down,-0.119493941,0.001321284,1,0.045642365,28.6,32.6
PPWD1,EC,Down,-0.120348229,0.000206604,1,0.014289848,12.7,16.1
MAPK14,EC,Down,-0.12048096,0.00030456,1,0.017886908,21.6,24.9
FNTA,EC,Down,-0.120581281,0.002936655,1,0.069164229,17.4,22.4
SF1,EC,Down,-0.123531703,0.000471917,1,0.024055361,30.9,37.0
SMIM14,EC,Down,-0.123576926,0.000269001,1,0.016471542,17.6,23.0
NUMB,EC,Down,-0.124899288,0.000603416,1,0.027910713,43.6,50.9
SERPINE1,EC,Down,-0.124957063,0.000590564,1,0.027481467,10,8.4
RNF144B,EC,Down,-0.125645698,0.00052323,1,0.02564048,52.5,59.0
ABL1,EC,Down,-0.126759584,0.003990391,1,0.083049779,24.4,30.4
YEATS2,EC,Down,-0.128471225,0.001101779,1,0.04024334,13.6,18.5
KNOP1,EC,Down,-0.128838489,0.000332156,1,0.019070889,14.3,17.8
FBXW7,EC,Down,-0.128888739,0.000234787,1,0.015483174,31.2,38.6
RARS2,EC,Down,-0.129219925,0.000988259,1,0.037454854,17.6,21.0
LDHB,EC,Down,-0.129442563,4.89E-05,1,0.005699978,12.4,16.1
ACER3,EC,Down,-0.129874169,9.79E-05,1,0.009298395,31.3,37.3
TAF1,EC,Down,-0.130084988,6.96E-05,1,0.007475506,24.2,29.6
GOLM1,EC,Down,-0.131998574,0.000432076,1,0.023080208,17.5,20.6
DECR1,EC,Down,-0.133204422,0.001057997,1,0.039148496,12.6,16.9
TMEM259,EC,Down,-0.13328112,0.000614088,1,0.028122565,14.2,18.6
NGLY1,EC,Down,-0.133661216,0.000872609,1,0.035032667,23.6,30.3
AC019197.1,EC,Down,-0.133744467,0.003145748,1,0.07217396,15.1,16.2
ATP11A,EC,Down,-0.134501741,0.000993976,1,0.037486849,46.4,49.9
SEPTIN2,EC,Down,-0.135311854,0.003696761,1,0.079742942,31,37.5
TEAD1,EC,Down,-0.135784995,4.63E-05,1,0.005512392,50.9,54.7
ATP8A1,EC,Down,-0.136038809,5.87E-05,1,0.00664401,12.5,15.7
NARF,EC,Down,-0.138306284,1.29E-05,0.472652021,0.002144314,13.9,18.4
DNAJC10,EC,Down,-0.138824095,9.17E-05,1,0.008895006,13.6,16.8
CCDC68,EC,Down,-0.139312432,0.000121549,1,0.01083198,17.5,22.7
TTLL5,EC,Down,-0.139756369,0.000195162,1,0.013902877,26,30.4
DDX1,EC,Down,-0.139793086,0.001712048,1,0.052062949,11,14.4
MAP4K3-DT,EC,Down,-0.141376584,0.000567616,1,0.027029918,17.6,22.6
LINC01376,EC,Down,-0.141410221,4.91E-06,0.179592432,0.001058439,10.7,15.0
ADAMTS6,EC,Down,-0.142329477,1.08E-10,3.97E-06,1.81E-07,10,13.9
TRAK1,EC,Down,-0.142721427,0.000116917,1,0.010582589,22.6,28.4
PPP3CB,EC,Down,-0.143950141,0.004643591,1,0.089889523,16.8,21.7
ELP3,EC,Down,-0.144346288,0.001418395,1,0.047377685,11.1,14.4
METAP2,EC,Down,-0.144436572,0.001125408,1,0.040842033,22.6,27.7
CADM2,EC,Down,-0.144533044,0.004839865,1,0.091639814,25.4,27.8
IQSEC1,EC,Down,-0.146970674,4.78E-05,1,0.00562436,53.8,53.7
DGLUCY,EC,Down,-0.147322968,0.005281754,1,0.096142077,18.2,22.1
SCFD2,EC,Down,-0.149208703,0.001831986,1,0.054229213,13.8,17.6
TUBA1A,EC,Down,-0.14928621,0.005520119,1,0.098538182,16.5,20.4
CLEC16A,EC,Down,-0.149698246,0.002118023,1,0.05847617,21.5,27.4
ARMCX4,EC,Down,-0.150741992,0.001501235,1,0.04888909,14.7,19.9
PPM1L,EC,Down,-0.15100291,0.001379102,1,0.046700722,10.4,13.0
SHB,EC,Down,-0.151547594,0.004243314,1,0.085912228,20.4,25.9
ATR,EC,Down,-0.152850288,0.000825797,1,0.033675302,18.7,23.1
IDS,EC,Down,-0.154827387,5.86E-05,1,0.00664401,20.8,24.6
RAMP3,EC,Down,-0.156417352,4.41E-07,0.016131871,0.00016408,15.2,21.6
ACSL4,EC,Down,-0.157292938,0.000487082,1,0.024654244,22.3,26.4
ESF1,EC,Down,-0.157928948,0.004657117,1,0.089977353,14.8,19.6
CHKA,EC,Down,-0.158904694,1.23E-06,0.044957796,0.000345743,26.4,33.1
FAM228B,EC,Down,-0.159670545,0.00233707,1,0.061228057,11.5,15.3
HSPG2,EC,Down,-0.160104693,0.000155953,1,0.012327219,13.9,19.2
PPFIA1,EC,Down,-0.160467324,0.004806109,1,0.091300257,25.3,30.4
GFOD1,EC,Down,-0.161033222,0.00337566,1,0.075424589,30.9,34.4
ABR,EC,Down,-0.161703825,0.004388922,1,0.087263399,29.6,34.8
BACE2,EC,Down,-0.162476364,0.000677849,1,0.029631512,51.2,56.5
RUFY3,EC,Down,-0.163379986,2.03E-05,0.741199486,0.002958283,32.8,39.7
ATP6V0A1,EC,Down,-0.16383756,0.002204023,1,0.05955671,11.4,15.3
GOSR2,EC,Down,-0.164276157,3.37E-05,1,0.004321026,13,18.5
SNX29,EC,Down,-0.167185082,1.82E-05,0.666324053,0.002693535,22.1,30.7
ST6GALNAC1,EC,Down,-0.167288106,0.001124794,1,0.040842033,10.3,15.2
ZNF721,EC,Down,-0.168695426,0.000241874,1,0.015647749,21.6,27.8
SUGP2,EC,Down,-0.168940408,0.002697514,1,0.066447518,13.9,17.7
PUM3,EC,Down,-0.169455583,0.005337737,1,0.096781103,18.8,23.8
CEP57,EC,Down,-0.169630987,0.001671313,1,0.051547908,14.8,21.3
MIA2,EC,Down,-0.169931353,0.000182292,1,0.013284277,25,32.7
RIMKLB,EC,Down,-0.170675546,8.11E-08,0.002969273,4.26E-05,55,54.0
NFIB,EC,Down,-0.172225441,0.001875092,1,0.054852984,67.7,72.3
UPP1,EC,Down,-0.17270284,0.001643537,1,0.051275878,21,27.3
TCF25,EC,Down,-0.173032764,0.001583071,1,0.050257723,29.8,37.9
LDLRAD3,EC,Down,-0.17573962,0.000208398,1,0.014289848,57,59.0
HLA-DRB1,EC,Down,-0.175824829,2.36E-08,0.000863164,1.52E-05,19.3,24.9
SIPA1L2,EC,Down,-0.176294809,0.003446936,1,0.076410244,29.3,33.9
RPGR,EC,Down,-0.176351586,2.15E-06,0.078871704,0.000540624,60.7,69.6
DNM2,EC,Down,-0.179184635,0.004403052,1,0.08730828,33,38.4
CALCRL,EC,Down,-0.182654352,1.77E-06,0.064782921,0.000469573,28.7,29.9
